Time,B instrument,Bx,By,Bz,sigma B,Ion instrument,Status,Tp_par,Tp_perp,carrot,r_sun,clat,clong,earth_he_angle,n_p,vp_x,vp_y,vp_z,vth_p_par,vth_p_perp
1976-04-05 00:01:21,1,23.836,0.705618,0.685393,3.72097,1,1,107061.0,343451.0,1639,0.39542514,-4.3690948,0.21780396,23.114288,17.5454,536.19,-0.0945538,0.971863,42.0411,75.2992
1976-04-05 00:02:42,1,22.1954,-7.96552,1.01379,3.53517,1,1,117018.0,369263.0,1639,0.39541572,-4.3687992,0.20639038,23.116547,19.4524,549.268,33.1844,-49.1945,43.9526,78.0775
1976-04-05 00:04:03,1,13.722,-8.12308,16.5824,3.56085,1,1,103427.0,383388.0,1639,0.39539689,-4.3682079,0.19918823,23.121048,18.994,585.168,30.6357,-100.069,41.3215,79.5568
1976-04-05 00:05:24,1,6.03218,1.36207,21.446,6.70185,1,1,124121.0,306238.0,1639,0.39538747,-4.3679123,0.18969727,23.123291,16.7678,610.175,23.2004,-112.11,45.2669,71.1029
1976-04-05 00:06:45,1,12.3582,4.76264,18.6703,7.36371,1,1,187078.0,252321.0,1639,0.39537805,-4.3676167,0.17828369,23.125549,15.441,548.381,-39.2773,-36.9351,55.5737,64.5408
1976-04-05 00:08:06,-1,nan,nan,nan,nan,1,-3,nan,nan,1639,0.39535928,-4.3670263,0.17108154,23.130051,nan,629.19,18.3563,-115.503,nan,nan
1976-04-05 00:09:27,1,7.83978,-9.14624,18.1118,9.16779,1,1,107852.0,354992.0,1639,0.39534986,-4.3667307,0.16159058,23.132294,19.731,627.315,-1.70784,-122.186,42.196,76.5539
1976-04-05 00:10:48,1,8.65747,-8.7069,19.2805,6.71395,1,1,98020.7,342987.0,1639,0.39534044,-4.3664351,0.150177,23.134552,17.4921,589.926,51.157,-88.459,40.2269,75.2484
1976-04-05 00:12:09,1,13.7437,-14.3126,13.446,4.97419,1,1,128886.0,329800.0,1639,0.39532167,-4.3658438,0.14297485,23.139053,18.348,572.604,68.5813,-53.545,46.1276,73.7876
1976-04-05 00:13:30,1,14.5471,-19.2586,-2.49425,5.00011,1,1,171499.0,333748.0,1639,0.39531225,-4.3655481,0.1335144,23.141312,19.272,593.519,83.6516,32.6682,53.2094,74.228
1976-04-05 00:14:51,1,15.9169,-18.0056,-6.80449,2.84946,1,1,116730.0,374033.0,1639,0.39530283,-4.3652525,0.12207031,23.143555,18.6462,570.041,72.8412,8.89894,43.8984,78.5802
1976-04-05 00:16:12,1,19.1471,-11.62,-10.6541,4.38258,1,1,124159.0,312889.0,1639,0.395284,-4.3646622,0.11486816,23.148056,15.3543,558.412,49.7813,40.3245,45.2738,71.8708
1976-04-05 00:17:33,-1,nan,nan,nan,nan,1,-3,nan,nan,1639,0.39527458,-4.3643665,0.10540771,23.150314,nan,599.742,53.4075,-87.3993,nan,nan
1976-04-05 00:18:54,1,3.65934,-17.5725,13.0813,8.7768,1,1,127551.0,334542.0,1639,0.39526516,-4.3640709,0.093963623,23.152557,18.3355,634.928,82.3688,-80.1511,45.888,74.3161
1976-04-05 00:20:15,1,11.9637,-20.4692,4.49451,3.83786,1,1,149091.0,376764.0,1639,0.39524639,-4.3634796,0.086761475,23.157059,19.6042,594.756,91.3071,-24.7502,49.6116,78.8665
1976-04-05 00:21:36,1,14.8852,-18.0705,-2.51591,7.05243,1,1,168210.0,360179.0,1639,0.39523697,-4.363184,0.077301025,23.159317,20.3628,568.07,58.3119,31.1683,52.6967,77.1111
